#Brilcalc command:  brilcalc lumi -c web  --begin 278820 --end 280385 -i /mnt/vol/cert.txt -u /fb --normtag /mnt/vol/normtag_PHYSICS.json  --output-style tab
#Data tag : 23v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 279715:5258 | 08/28/16 22:01:34 | 577  | 577  | 0.134594200    | 0.129165228   |
| 279716:5258 | 08/29/16 02:17:06 | 1638 | 1638 | 0.265251087    | 0.258407241   |
| 279760:5261 | 08/29/16 20:21:24 | 664  | 658  | 0.162292590    | 0.155199085   |
| 279766:5261 | 08/30/16 01:08:36 | 1694 | 1690 | 0.279515063    | 0.270889647   |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 0.092636863    | 0.090583908   |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 0.232460796    | 0.225486947   |
| 279823:5265 | 08/31/16 10:00:39 | 335  | 335  | 0.085329204    | 0.082750019   |
| 279841:5266 | 08/31/16 15:23:17 | 2040 | 2040 | 0.396657811    | 0.384216979   |
| 279844:5267 | 09/01/16 07:21:16 | 233  | 224  | 0.062263039    | 0.057240986   |
| 279887:5270 | 09/01/16 23:20:52 | 319  | 319  | 0.078037606    | 0.074126575   |
| 279931:5274 | 09/02/16 11:37:39 | 2936 | 2936 | 0.495181699    | 0.479950450   |
| 279966:5275 | 09/03/16 09:20:25 | 363  | 363  | 0.098086749    | 0.094085114   |
| 279975:5276 | 09/03/16 14:45:09 | 1024 | 1024 | 0.250777578    | 0.241662520   |
| 279993:5277 | 09/04/16 00:23:27 | 79   | 78   | 0.021506707    | 0.018287474   |
| 279994:5277 | 09/04/16 00:56:48 | 59   | 54   | 0.016571493    | 0.012524966   |
| 280013:5277 | 09/04/16 03:35:47 | 34   | 32   | 0.008060322    | 0.005697175   |
| 280015:5277 | 09/04/16 03:55:19 | 576  | 572  | 0.121708103    | 0.116388172   |
| 280016:5277 | 09/04/16 07:42:16 | 163  | 155  | 0.030375991    | 0.026838406   |
| 280017:5277 | 09/04/16 08:45:47 | 613  | 613  | 0.102625897    | 0.098921384   |
| 280018:5277 | 09/04/16 12:47:05 | 1282 | 1282 | 0.164850851    | 0.160429977   |
| 280020:5277 | 09/04/16 21:15:15 | 47   | 45   | 0.005040703    | 0.004651996   |
| 280024:5277 | 09/04/16 21:47:39 | 427  | 427  | 0.042966907    | 0.042184958   |
| 280187:5279 | 09/05/16 20:24:23 | 67   | 60   | 0.017621742    | 0.013371081   |
| 280188:5279 | 09/05/16 20:50:25 | 253  | 250  | 0.066904221    | 0.062262210   |
| 280191:5279 | 09/05/16 22:40:17 | 908  | 906  | 0.189518602    | 0.180805055   |
| 280194:5279 | 09/06/16 05:36:21 | 238  | 238  | 0.038265302    | 0.037123022   |
| 280242:5282 | 09/06/16 15:43:40 | 637  | 628  | 0.158169943    | 0.149332061   |
| 280249:5282 | 09/06/16 19:52:07 | 1437 | 1435 | 0.250281958    | 0.241480183   |
| 280251:5282 | 09/07/16 05:14:58 | 371  | 371  | 0.048858039    | 0.047592501   |
| 280327:5287 | 09/08/16 08:23:13 | 50   | 44   | 0.012070167    | 0.008819257   |
| 280330:5287 | 09/08/16 08:46:53 | 870  | 862  | 0.197492384    | 0.187767451   |
| 280349:5287 | 09/08/16 14:27:22 | 635  | 625  | 0.110993755    | 0.105115956   |
| 280363:5287 | 09/08/16 18:47:24 | 367  | 360  | 0.053311148    | 0.050468859   |
| 280364:5287 | 09/08/16 21:09:57 | 1351 | 1351 | 0.162516498    | 0.156605510   |
| 280383:5288 | 09/09/16 08:41:13 | 10   | 9    | 0.002775153    | 0.000250886   |
| 280384:5288 | 09/09/16 08:48:48 | 47   | 40   | 0.012076700    | 0.007897894   |
| 280385:5288 | 09/09/16 09:11:36 | 2019 | 2019 | 0.383736092    | 0.368580819   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 70   | 43014 | 42872 | 8.013877685       | 7.653261227      |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: [(284044, 1), (284044, 2), (284044, 3), (284044, 4), (284044, 5), (284044, 6), (284044, 7), (284044, 8), (284044, 9), (284044, 10), (284044, 11), (284044, 12), (284044, 13), (284044, 14), (284044, 15), (284044, 16), (284044, 17), (284044, 18), (284044, 19), (284044, 20), (284044, 21), (284044, 22), (284044, 23), (284044, 24), (284044, 25), (284044, 26), (284044, 27), (284044, 28), (284044, 29), (284044, 30)]
